"_id",pokemon,moves.0,moves.1,moves.2,moves.3,moves.4,moves.5,moves.6,moves.7,moves.8,moves.9,moves.10,moves.11,moves.12,moves.13,moves.14,moves.15,moves.16,moves.17,moves.18,moves.19,moves.20,moves.21,moves.22,moves.23,moves.24,moves.25,moves.26,moves.27,moves.28,moves.29,moves.30,moves.31,moves.32,moves.33,moves.34,moves.35,moves.36,moves.37,moves.38,moves.39,moves.40,moves.41,moves.42,moves.43,moves.44,moves.45,moves.46,moves.47,moves.48,moves.49,moves.50,moves.51,moves.52,moves.53,moves.54,moves.55,moves.56,moves.57,moves.58,moves.59,moves.60,moves.61,moves.62,moves.63,moves.64,moves.65,moves.66,moves.67,moves.68,moves.69,moves.70,moves.71,moves.72,moves.73,moves.74,moves.75,moves.76,moves.77,moves.78,moves.79,moves.80,moves.81,moves.82,moves.83,moves.84,moves.85,moves.86,moves.87,moves.88,moves.89,moves.90,moves.91,moves.92,moves.93,moves.94,moves.95,moves.96,moves.97,moves.98,moves.99,moves.100,moves.101,moves.102,moves.103,moves.104,moves.105
5e825b9502284d30719df399,blastoise,flash-cannon,tackle,tail-whip,water-gun,withdraw,rapid-spin,bite,water-pulse,protect,rain-dance,aqua-tail,shell-smash,iron-defense,hydro-pump,skull-bash,mega-punch,mega-kick,ice-punch,hyper-beam,giga-impact,dig,rest,rock-slide,snore,icy-wind,attract,hail,whirlpool,facade,helping-hand,brick-break,dive,weather-ball,rock-tomb,brine,fling,avalanche,round,bulldoze,false-swipe,body-slam,surf,ice-beam,blizzard,earthquake,waterfall,substitute,outrage,endure,sleep-talk,iron-tail,crunch,muddy-water,gyro-ball,aura-sphere,dark-pulse,dragon-pulse,focus-blast,zen-headbutt,scald,work-up,liquidation,body-press,aqua-jet,aqua-ring,fake-out,flail,haze,life-dew,mirror-coat,mist,water-spout,yawn,hydro-cannon,water-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39a,caterpie,bug-bite,electroweb,snore,string-shot,tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39b,metapod,bug-bite,bug-bite,electroweb,electroweb,harden,iron-defense,snore,string-shot,string-shot,tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39c,butterfree,gust,harden,tackle,string-shot,bug-bite,supersonic,confusion,poison-powder,stun-spore,sleep-powder,psybeam,whirlwind,air-slash,safeguard,bug-buzz,tailwind,rage-[owder,quiver-dance,hyper-beam,giga-impact,solar-beam,rest,thief,snore,protect,giga-drain,attract,rain-dance,sunny-day,facade,swift,u-turn,venoshock,round,acrobatics,electroweb,draining-kiss,psychic,substitute,endure,sleep-talk,baton-pass,shadow-ball,skill-swap,iron-defense,energy-ball,hurricane,pollen-puff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39d,weedle,bug-bite,electroweb,poison-sting,string-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39e,kakuna,bug-bite,bug-bite,electroweb,electroweb,harden,iron-defense,poison-sting,string-shot,string-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df39f,beedrill,acrobatics,aerial-ace,agility,air-cutter,assurance,attract,baton-pass,bide,brick-break,brutal-swing,bug-bite,bug-bite,bug-bite,captivate,confide,cut,defog,double-edge,double-team,drill-run,electroweb,electroweb,electroweb,endeavor,endure,facade,false-swipe,fell-stinger,flash,focus-energy,frustration,fury-attack,fury-cutter,giga-drain,giga-impact,harden,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,hyper-beam,infestation,iron-defense,knock-off,laser-focus,mega-drain,mimic,natural-gift,ominous-wind,payback,pin-missile,poison-jab,poison-sting,protect,pursuit,rage,reflect,rest,return,rock-smash,roost,round,secret-power,silver-wind,skull-bash,sleep-talk,sludge-bomb,snore,solar-beam,string-shot,string-shot,string-shot,struggle-bug,substitute,sunny-day,swagger,swift,swords-dance,tailwind,take-down,thief,throat-chop,toxic,toxic-spikes,twineedle,u-turn,venoshock,x-scissor,,,,,,
5e825b9502284d30719df3a0,pidgey,aerial-ace,agility,air-cutter,air-slash,attract,bide,brave-bird,captivate,confide,defog,double-edge,double-team,endure,facade,feather-dance,feint-attack,fly,foresight,frustration,gust,heat-wave,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,hurricane,mimic,mirror-move,mud-slap,natural-gift,ominous-wind,pluck,protect,pursuit,quick-attack,rage,rain-dance,razor-wind,reflect,rest,return,roost,round,sand-attack,secret-power,sky-attack,sleep-talk,snore,steel-wing,substitute,sunny-day,swagger,swift,tackle,tailwind,take-down,thief,toxic,twister,uproar,u-turn,whirlwind,wing-attack,work-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df3a1,pidgeotto,aerial-ace,aerial-ace,agility,agility,air-cutter,air-cutter,air-slash,air-slash,attract,attract,bide,brave-bird,brave-bird,captivate,captivate,confide,confide,defog,defog,double-edge,double-edge,double-team,double-team,endure,endure,facade,facade,feather-dance,feather-dance,feint-attack,feint-attack,fly,fly,foresight,foresight,frustration,frustration,gust,gust,heat-wave,heat-wave,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel,hidden-power-water,hidden-power-water,hurricane,hurricane,mimic,mimic,mirror-move,mirror-move,mud-slap,mud-slap,natural-gift,natural-gift,ominous-wind,ominous-wind,pluck,pluck,protect,protect,pursuit,pursuit,quick-attack,quick-attack,rage,rain-dance,rain-dance,razor-wind,reflect,refresh,rest,rest,return,return,roost,roost,round
5e825b9502284d30719df3a2,pidgeot,aerial-ace,aerial-ace,aerial-ace,agility,agility,agility,air-cutter,air-cutter,air-cutter,air-slash,air-slash,air-slash,attract,attract,attract,bide,brave-bird,brave-bird,brave-bird,captivate,captivate,captivate,confide,confide,confide,defog,defog,defog,double-edge,double-edge,double-edge,double-team,double-team,double-team,endure,endure,endure,facade,facade,facade,feather-dance,feather-dance,feather-dance,feint-attack,feint-attack,feint-attack,fly,fly,fly,foresight,foresight,foresight,frustration,frustration,frustration,giga-impact,gust,gust,gust,heat-wave,heat-wave,heat-wave,hidden-power-bug,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel
5e825b9502284d30719df3a3,rattata,assurance,attract,bide,bite,blizzard,body-slam,bubble-beam,captivate,charge-beam,confide,counter,covet,crunch,cut,defense-curl,dig,double-edge,double-team,endeavor,endure,facade,final-gambit,flame-wheel,focus-energy,frustration,fury-swipes,grass-knot,headbutt,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,hyper-fang,ice-beam,icy-wind,iron-tail,last-resort,me-first,mimic,mud-slap,natural-gift,pluck,protect,pursuit,quick-attack,rage,rain-dance,rest,retaliate,return,revenge,reversal,rock-smash,round,screech,secret-power,shadow-ball,shock-wave,skull-bash,sleep-talk,snore,substitute,sucker-punch,sunny-day,super-fang,swagger,swift,tackle,tail-whip,take-down,taunt,thief,thunder,thunderbolt,thunder-wave,toxic,uproar,u-turn,water-gun,wild-charge,work-up,zen-headbutt,,,,,,,,,,,,
5e825b9502284d30719df3a4,raticate,assurance,assurance,attract,attract,bide,bite,bite,blizzard,blizzard,body-slam,body-slam,bubble-beam,bulk-up,captivate,captivate,charge-beam,charge-beam,confide,confide,counter,counter,covet,covet,crunch,crunch,cut,cut,dark-pulse,defense-curl,defense-curl,dig,dig,double-edge,double-edge,double-team,double-team,embargo,endeavor,endeavor,endure,endure,facade,facade,final-gambit,final-gambit,flame-wheel,flame-wheel,focus-energy,focus-energy,frustration,frustration,fury-swipes,fury-swipes,giga-impact,grass-knot,grass-knot,headbutt,headbutt,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel,hidden-power-water,hidden-power-water,hyper-beam,hyper-fang,hyper-fang,ice-beam,ice-beam,icy-wind,icy-wind,iron-tail,iron-tail,last-resort,last-resort,me-first,me-first,mimic,mimic,mud-slap
5e825b9502284d30719df3a5,spearow,aerial-ace,agility,air-cutter,assurance,astonish,attract,baton-pass,bide,captivate,confide,defog,double-edge,double-team,drill-peck,drill-run,echoed-voice,endure,facade,false-swipe,feather-dance,feint-attack,fly,focus-energy,frustration,fury-attack,growl,heat-wave,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,leer,mimic,mirror-move,mud-slap,natural-gift,ominous-wind,peck,pluck,protect,pursuit,quick-attack,rage,rain-dance,razor-wind,rest,return,roost,round,scary-face,secret-power,sky-attack,sleep-talk,snore,steel-wing,substitute,sunny-day,swagger,swift,tailwind,take-down,thief,toxic,tri-attack,twister,uproar,u-turn,whirlwind,work-up,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df3a6,fearow,aerial-ace,aerial-ace,agility,agility,air-cutter,air-cutter,assurance,assurance,astonish,astonish,attract,attract,baton-pass,bide,captivate,captivate,confide,confide,defog,defog,double-edge,double-edge,double-team,double-team,drill-peck,drill-peck,drill-run,drill-run,echoed-voice,echoed-voice,endure,endure,facade,facade,false-swipe,false-swipe,feather-dance,feather-dance,feint-attack,feint-attack,fly,fly,focus-energy,focus-energy,frustration,frustration,fury-attack,fury-attack,giga-impact,growl,growl,heat-wave,heat-wave,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel,hidden-power-water,hidden-power-water,hyper-beam,laser-focus,leer,leer,mimic,mimic,mirror-move,mirror-move,mud-slap,mud-slap,natural-gift,natural-gift,ominous-wind,ominous-wind,peck,peck,pluck,pluck,protect,protect,pursuit
5e825b9502284d30719df3a7,ekans,acid,acid-spray,aqua-tail,attract,beat-up,belch,bide,bind,bite,body-slam,brutal-swing,bulldoze,captivate,coil,confide,dark-pulse,dig,disable,double-edge,double-team,earthquake,endure,facade,fissure,frustration,gastro-acid,giga-drain,glare,gunk-shot,haze,headbutt,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,infestation,iron-tail,leer,mega-drain,mimic,mud-bomb,natural-gift,payback,poison-fang,poison-jab,poison-sting,poison-tail,protect,pursuit,rage,rain-dance,rest,return,rock-slide,rock-tomb,round,scary-face,screech,secret-power,seed-bomb,skull-bash,slam,sleep-talk,sludge-bomb,sludge-wave,snatch,snore,spite,spit-up,stockpile,strength,substitute,sucker-punch,sunny-day,swagger,swallow,switcheroo,take-down,thief,torment,toxic,venoshock,wrap,,,,,,,,,,,
5e825b9502284d30719df3a8,arbok,acid,acid,acid-spray,acid-spray,aqua-tail,aqua-tail,attract,attract,beat-up,beat-up,belch,belch,bide,bind,bind,bite,bite,body-slam,body-slam,brutal-swing,brutal-swing,bulldoze,bulldoze,captivate,captivate,coil,coil,confide,confide,crunch,dark-pulse,dark-pulse,dig,dig,disable,disable,double-edge,double-edge,double-team,double-team,dragon-tail,earthquake,earthquake,endure,endure,facade,facade,fire-fang,fissure,frustration,frustration,gastro-acid,gastro-acid,giga-drain,giga-drain,giga-impact,glare,glare,gunk-shot,gunk-shot,haze,haze,headbutt,headbutt,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel,hidden-power-water,hidden-power-water,hyper-beam,ice-fang,infestation,infestation,iron-tail,iron-tail,leer,leer,mega-drain,mimic
5e825b9502284d30719df3a9,pikachu,play-nice,sweet-kiss,nuzzle,nasty-plot,charm,thunder-shock,tail-whip,growl,quick-attack,thunder-wave,double-team,electro-ball,feint,spark,agility,slam,discharge,thunderbolt,light-screen,thunder,mega-punch,mega-kick,pay-day,thunder-punch,dig,reflect,rest,thief,snore,protect,attract,rain-dance,facade,swift,helping-hand,brick-break,fling,round,volt-switch,electroweb,draining-kiss,electric-terrain,body-slam,surf,substitute,reversal,endure,sleep-talk,encore,iron-tail,uproar,grass-knot,wild-charge,play-rough,charge,disarming-voice,fake-out,flail,present,tickle,volt-tackle,wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df3aa,raichu,thunder-punch,play-nice,sweet-kiss,nuzzle,nasty-plot,charm,thunder-wave,double-team,electro-ball,feint,spark,agility,slam,discharge,thunderbolt,light-screen,thunder,thunder-shock,tail-whip,growl,quick-attack,mega-punch,mega-kick,pay-day,hyper-beam,giga-impact,dig,reflect,safeguard,rest,thief,snore,protect,attract,rain-dance,facade,swift,helping-hand,brick-break,fling,speed-swap,round,volt-switch,electroweb,draining-kiss,electric-terrain,eerie-impulse,brutal-swing,body-slam,surf,agility,substitute,reversal,endure,sleep-talk,encore,iron-tail,uproar,focus-blast,grass-knot,electro-ball,play-rough,charge,disarming-voice,fake-out,flail,present,tickle,volt-tackle,wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df3ab,sandshrew,aerial-ace,attract,bide,body-slam,brick-break,bulldoze,captivate,chip-away,confide,counter,covet,crush-claw,cut,defense-curl,dig,double-edge,double-team,dynamic-punch,earth-power,earthquake,endure,facade,fissure,flail,fling,focus-punch,frustration,fury-cutter,fury-swipes,gyro-ball,headbutt,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,hone-claws,iron-tail,knock-off,magnitude,metal-claw,mimic,mud-shot,mud-slap,natural-gift,night-slash,poison-jab,poison-sting,protect,rage,rapid-spin,rest,return,rock-climb,rock-slide,rock-smash,rock-tomb,rollout,rototiller,round,safeguard,sand-attack,sandstorm,sand-tomb,scratch,secret-power,seismic-toss,shadow-claw,skull-bash,slash,sleep-talk,snore,stealth-rock,stomping-tantrum,strength,submission,substitute,sunny-day,super-fang,swagger,swift,swords-dance,take-down,thief,toxic,x-scissor,,,,,,,,,
